Image Reference,Description,Price
E0001,Broquel pandita premium,$14 
E0002,Corazon blanco,$14 
E0003,Negro,$14 
E0004,Azul,$14 
E0005,Pinguino,$14 
E0006,Ositos Blanco B,$13 
E0007,Arracada tusal,$35 
E0008,Broquel unicornio,$13 
E0009,Arracada liza 3CM,$70 
E0010,Broquel moito 8mm,$13 
E0011,Arracada faceta 2cm,$20 
E0012,Broquel redondo Azul,$14 
E0013,Osito verde broquel,$14 
E0014,Broquel clavo rombo,$14 
E0015,Broquel premium Mariposa blanco 7mm,$17 
E0016,Corazon Azul,$13 
E0017,Elefante,$13 
E0018,Broquel corazon Rojo,$13 
E0019,Broquel Corona,$13 
E0020,Piedrita blanca,$13 
E0021,Broquel redondo Morado,$13 
E0022,Broquel chihuahua 5.5 mm,$20 
E0023,Broquel flor verde,$14 
E0024,Arracada calado Gota 5m,$19 
E0025,Broquel estrella verde,$13 
E0026,Broquel redondo Rojo,$14 
E0027,Broquel cuartera Blanco,$14 
E0028,Osito blanco,$13 
E0029,Broquel virgen 6.,$13 
E0030,Broquel Corona 2.,$13 
E0031,Flor Rosa,$16 
E0032,Broquel Elefante,$13 
E0033,Manzana,$13 
E0034,Broquel Redondo,$14 
E0035,Broquel sol,$13 
E0036,Broquel pollitos,$13 
E0037,Premium flor Rosa,$16 
E0038,Broquel delfines,$13 
E0039,Broquel redondo Rosa,$14 
E0040,Arete libelula,$20 
E0041,Broquel Gatita Azul,$15 
E0042,Broquel angel,$14 
E0043,Broquel elefante Rojo,$13 
E0044,Broquel corazones,$13 
E0045,Broquel flor cz olivo,$15 
E0046,Broquel cruz,$13 
E0047,Broquel angel (Premium),$13 
E0048,Broquel redondo Blanco,$14 
E0049,Broquel flor Azul larga,$14 
E0050,Broquel flor Blanca larga,$14 
